,code,geom,box
35,S_k_83,"                                            geometry
0  POLYGON ((147.31393 -33.27382, 147.29247 -33.2...","{'lats': [-33.273815916596874, -33.273814063143675, -33.25578129043875, -33.25577943824998], 'lons': [147.31393271645553, 147.2924650778754, 147.2924650778754, 147.31392830496665]}"
36,S_k_84,"                                            geometry
0  POLYGON ((147.20513 -33.24162, 147.18367 -33.2...","{'lats': [-33.24161596391969, -33.241614112723724, -33.22358124650784, -33.22357939657539], 'lons': [147.20512878133997, 147.18366901649614, 147.18366901649614, 147.20512437686324]}"
37,S_k_85,"                                            geometry
0  POLYGON ((148.85289 -33.71572, 148.83131 -33.7...","{'lats': [-33.71571526484407, -33.715713380246896, -33.69768189539373, -33.69768001207365], 'lons': [148.8528873594337, 148.83131038625686, 148.83131038625686, 148.85288285064013]}"
38,S_k_88,"                                            geometry
0  POLYGON ((148.89381 -33.93281, 148.87218 -33.9...","{'lats': [-33.93281494309528, -33.9328130430819, -33.914782193979164, -33.91478029524922], 'lons': [148.8938146459946, 148.87218307542696, 148.87218307542696, 148.89381008865084]}"
39,S_k_91,"                                            geometry
0  POLYGON ((148.48373 -34.04221, 148.46207 -34.0...","{'lats': [-34.04221478058208, -34.04221287277093, -34.0241823447764, -34.02418043825192], 'lons': [148.4837285075881, 148.46206920150914, 148.46206920150914, 148.48372392558937]}"
40,S_k_93,"                                            geometry
0  POLYGON ((148.91329 -33.70242, 148.89171 -33.7...","{'lats': [-33.70241528452225, -33.70241340086701, -33.68438187713086, -33.68437999475232], 'lons': [148.91328569731436, 148.89171204985493, 148.89171204985493, 148.91328119147892]}"
41,S_k_94,"                                            geometry
0  POLYGON ((149.38918 -34.46771, 149.36741 -34.4...","{'lats': [-34.467714146138476, -34.467712207809036, -34.4496829333691, -34.449680996339104], 'lons': [149.38918313972624, 149.36741452082055, 149.36741452082055, 149.38917846060195]}"
42,S_k_95,"                                            geometry
0  POLYGON ((149.34378 -34.47821, 149.32201 -34.4...","{'lats': [-34.47821413043559, -34.4782121913492, -34.460182947934825, -34.46018101014819], 'lons': [149.34378450246226, 149.32201315687385, 149.32201315687385, 149.34377982091607]}"
43,S_k_98,"                                            geometry
0  POLYGON ((149.58378 -34.48131, 149.56201 -34.4...","{'lats': [-34.481314125799045, -34.48131218648913, -34.463282952235524, -34.46328101422547], 'lons': [149.58378490492913, 149.56201275404948, 149.56201275404948, 149.5837802226677]}"
44,S_k_100,"                                            geometry
0  POLYGON ((138.99874 -34.93631, 138.97685 -34.9...","{'lats': [-34.936313443200824, -34.93631147090533, -34.91828358528033, -34.91828161429877], 'lons': [138.99874465060833, 138.97685295530678, 138.97685295530678, 138.99873986219254]}"
45,S_k_101,"                                            geometry
0  POLYGON ((139.07613 -34.83411, 139.05427 -34.8...","{'lats': [-34.834113596878275, -34.83411163202305, -34.81608344277982, -34.81608147923532], 'lons': [139.07613111355604, 139.05426650438017, 139.05426650438017, 139.07612634918863]}"
46,S_k_102,"                                            geometry
0  POLYGON ((139.00372 -34.77531, 138.98187 -34.7...","{'lats': [-34.77531368520297, -34.7753117246202, -34.75728336087347, -34.7572814015996], 'lons': [139.0037233560478, 138.98187426877757, 138.98187426877757, 139.00371860546232]}"
47,S_k_104,"                                            geometry
0  POLYGON ((139.01921 -34.66221, 138.99739 -34.6...","{'lats': [-34.66221385490126, -34.6622119025196, -34.64418320349546, -34.6441812524192], 'lons': [139.01920849796213, 138.99738914005928, 138.99738914005928, 139.01920377377553]}"
48,S_k_105,"                                            geometry
0  POLYGON ((138.97025 -34.97671, 138.94835 -34.9...","{'lats': [-34.976713382395715, -34.97671140715404, -34.95868364165972, -34.95868166773323], 'lons': [138.9702500207363, 138.94834758041034, 138.94834758041034, 138.97024522278096]}"
49,S_k_106,"                                            geometry
0  POLYGON ((138.91272 -34.73471, 138.89088 -34.7...","{'lats': [-34.734713746149374, -34.73471178851313, -34.716683304353495, -34.716681348024906], 'lons': [138.91271801281636, 138.89087961675438, 138.89087961675438, 138.91271327172404]}"
50,S_k_107,"                                            geometry
0  POLYGON ((147.98578 -33.67272, 147.96422 -33.6...","{'lats': [-33.67271532845146, -33.67271344689859, -33.654681836360616, -33.65467995608359], 'lons': [147.98578198961252, 147.9642157608555, 147.9642157608555, 147.98577749037617]}"
51,S_k_109,"                                            geometry
0  POLYGON ((148.01110 -33.02992, 147.98969 -33.0...","{'lats': [-33.029916274464796, -33.02991443806843, -33.01188095820262, -33.01187912306385], 'lons': [148.01110306560076, 147.98969475515062, 147.98969475515062, 148.0110987069657]}"
52,S_k_115,"                                            geometry
0  POLYGON ((148.02309 -32.92822, 148.00171 -32.9...","{'lats': [-32.92821642328818, -32.92821459397667, -32.91018082002623, -32.91017899196948], 'lons': [148.02309080750933, 148.001707024171, 148.001707024171, 148.0230864707374]}"
53,S_k_116,"                                            geometry
0  POLYGON ((148.04649 -32.94262, 148.02511 -32.9...","{'lats': [-32.942616402230215, -32.94261457191652, -32.92458083957813, -32.92457901051959], 'lons': [148.0464925394124, 148.02510529072353, 148.02510529072353, 148.04648819955105]}"
54,S_k_117,"                                            geometry
0  POLYGON ((148.10709 -32.94892, 148.08570 -32.9...","{'lats': [-32.94891639301587, -32.94891456226361, -32.93088084813341, -32.93087901863649], 'lons': [148.10709329750915, 148.0857045319508, 148.0857045319508, 148.10708895629554]}"
55,S_k_126,"                                            geometry
0  POLYGON ((148.44892 -34.01051, 148.42727 -34.0...","{'lats': [-34.0105148276982, -34.01051292214859, -33.99248230105813, -33.99248039679425], 'lons': [148.448924483297, 148.42727322937793, 148.42727322937793, 148.44891990845554]}"
56,S_k_130,"                                            geometry
0  POLYGON ((141.82593 -36.25371, 141.80367 -36.2...","{'lats': [-36.253711444791925, -36.253709374909704, -36.235685437111734, -36.23568336858645], 'lons': [141.82592541079103, 141.80367203461867, 141.80367203461867, 141.82592030127879]}"
57,S_k_133,"                                            geometry
0  POLYGON ((144.72320 -36.79661, 144.70079 -36.7...","{'lats': [-36.79661061242372, -36.796608501381534, -36.77858620766723, -36.778584098000756], 'lons': [144.7232033963993, 144.7007939797131, 144.7007939797131, 144.72319814825426]}"
58,S_k_134,"                                            geometry
0  POLYGON ((144.19251 -36.85811, 144.17009 -36.8...","{'lats': [-36.858110517829424, -36.85810840208843, -36.84008629520545, -36.840084180842354], 'lons': [144.19251236348464, 144.17008500465573, 144.17008500465573, 144.1925070993912]}"
59,S_k_135,"                                            geometry
0  POLYGON ((144.72092 -36.90001, 144.69848 -36.9...","{'lats': [-36.90001045334774, -36.90000833440117, -36.88198635487342, -36.88198423730622], 'lons': [144.72091848842192, 144.69847887427272, 144.69847887427272, 144.7209132134339]}"
60,S_k_137,"                                            geometry
0  POLYGON ((144.99430 -36.78791, 144.97190 -36.7...","{'lats': [-36.787910625800485, -36.78790851542241, -36.769886195287775, -36.7698840862851], 'lons': [144.99430213008736, 144.97189524715074, 144.97189524715074, 144.99429688419437]}"
61,S_k_138,"                                            geometry
0  POLYGON ((144.75441 -36.86571, 144.73198 -36.8...","{'lats': [-36.865710506135514, -36.865708389813335, -36.84768630602657, -36.84768419108255], 'lons': [144.75441347350878, 144.73198389364478, 144.73198389364478, 144.754408207441]}"
62,S_k_141,"                                            geometry
0  POLYGON ((144.44155 -36.40481, 144.41925 -36.4...","{'lats': [-36.40481121361815, -36.40480913233736, -36.38678565116688, -36.38678357124817], 'lons': [144.44154690582596, 144.4192505204888, 144.4192505204888, 144.44154175811346]}"
63,S_k_142,"                                            geometry
0  POLYGON ((141.64937 -37.90771, 141.62663 -37.9...","{'lats': [-37.907708894492934, -37.90770669738359, -37.88968779636445, -37.889685600671335], 'lons': [141.6493696902811, 141.62662753780742, 141.62662753780742, 141.64936414600436]}"
64,S_k_146,"                                            geometry
0  POLYGON ((118.19286 -34.28991, 118.17114 -34.2...","{'lats': [-34.289914411700956, -34.289912486160894, -34.271882687021005, -34.27188076277502], 'lons': [118.19286017116337, 118.17113750979102, 118.17113750979102, 118.19285553286478]}"
