,code,geom,box
71,S_k_348,"                                            geometry
0  POLYGON ((132.44021 -12.71764, 132.42179 -12.7...","{'lats': [-12.717639137223005, -12.717638497636155, -12.69955989748219, -12.69955925883391], 'lons': [132.44020726128414, 132.42179208750653, 132.42179208750653, 132.4402059592519]}"
72,S_k_349,"                                            geometry
0  POLYGON ((132.61741 -12.82334, 132.59899 -12.8...","{'lats': [-12.823339063653473, -12.823338418576713, -12.805259962769393, -12.805259318631954], 'lons': [132.61741108460828, 132.59898825831308, 132.59898825831308, 132.61740977083633]}"
73,S_k_350,"                                            geometry
0  POLYGON ((132.64021 -12.91174, 132.62179 -12.9...","{'lats': [-12.911739001696526, -12.911738352024981, -12.893660017794547, -12.893659369062952], 'lons': [132.64021430856477, 132.62178502943888, 132.62178502943888, 132.64021298495652]}"
74,S_k_353,"                                            geometry
0  POLYGON ((132.67211 -12.77874, 132.65369 -12.7...","{'lats': [-12.778739094764179, -12.77873845200442, -12.760659935154212, -12.760659293333457], 'lons': [132.67210946717182, 132.65368987822757, 132.65368987822757, 132.67210815835625]}"
75,S_k_354,"                                            geometry
0  POLYGON ((132.59774 -13.58174, 132.57926 -13.5...","{'lats': [-13.58173851948238, -13.581737834882398, -13.563660447317758, -13.56365976366268], 'lons': [132.5977395296916, 132.57925977076468, 132.57925977076468, 132.5977381309816]}"
76,S_k_355,"                                            geometry
0  POLYGON ((132.71384 -13.57454, 132.69536 -13.5...","{'lats': [-13.5745385247825, -13.574537840558866, -13.55646044258535, -13.556459759306561], 'lons': [132.71383925123862, 132.69536004962376, 132.69536004962376, 132.713837853341]}"
77,S_k_356,"                                            geometry
0  POLYGON ((132.82693 -13.22734, 132.80847 -13.2...","{'lats': [-13.227338777325985, -13.227338111224675, -13.209260217379484, -13.209259552220422], 'lons': [132.82692601533796, 132.80847330504045, 132.80847330504045, 132.82692465647608]}"
78,S_k_357,"                                            geometry
0  POLYGON ((132.94592 -13.05494, 132.92748 -13.0...","{'lats': [-13.054938900504997, -13.054938243383646, -13.036860107747307, -13.036859451566944], 'lons': [132.94591958221855, 132.9274797478012, 132.9274797478012, 132.94591824264097]}"
79,S_k_358,"                                            geometry
0  POLYGON ((133.00352 -13.10434, 132.98508 -13.1...","{'lats': [-13.104338865359908, -13.104338205666659, -13.086260139012488, -13.086259480260583], 'lons': [133.0035214161784, 132.98507791108196, 132.98507791108196, 133.00352007108162]}"
80,S_k_361,"                                            geometry
0  POLYGON ((132.99343 -13.35944, 132.97497 -13.3...","{'lats': [-13.359438681943084, -13.35943800895267, -13.341360302369965, -13.341359630322783], 'lons': [132.99343100702518, 132.9749683059437, 132.9749683059437, 132.99342963334286]}"
