project,site,geom,longitude,latitude
Environmental Plantings,S_k_177,POINT (147.3816096 -33.65683602),147.3816,-33.6568
Environmental Plantings,S_k_178,POINT (147.357813 -33.66626025),147.3578,-33.6663
Environmental Plantings,S_k_179,POINT (147.2880873 -33.69819051),147.2881,-33.6982
Environmental Plantings,S_k_180,POINT (146.8503044 -34.18518177),146.8503,-34.1852
Environmental Plantings,S_k_181,POINT (146.8721934 -34.20669791),146.8722,-34.2067
Environmental Plantings,S_k_182,POINT (147.5473635 -33.97995128),147.5474,-33.98
Environmental Plantings,S_k_183,POINT (149.2327047 -34.60164101),149.2327,-34.6016
Environmental Plantings,S_k_184,POINT (148.910028 -34.66552814),148.91,-34.6655
Environmental Plantings,S_k_185,POINT (149.1461978 -34.49259673),149.1462,-34.4926
Environmental Plantings,S_k_186,POINT (149.1544601 -34.79644253),149.1545,-34.7964
Environmental Plantings,S_k_187,POINT (149.241729 -34.58325499),149.2417,-34.5833
Environmental Plantings,S_k_188,POINT (149.1436228 -34.78774466),149.1436,-34.7877
Environmental Plantings,S_k_189,POINT (148.4820964 -34.31234104),148.4821,-34.3123
Environmental Plantings,S_k_190,POINT (148.4729708 -34.31686063),148.473,-34.3169
Environmental Plantings,S_k_191,POINT (148.3924406 -34.17650645),148.3924,-34.1765
Environmental Plantings,S_k_192,POINT (148.3854394 -34.17034547),148.3854,-34.1703
Environmental Plantings,S_k_193,POINT (148.3908985 -34.18236739),148.3909,-34.1824
Environmental Plantings,S_k_194,POINT (148.4666938 -34.347099),148.4667,-34.3471
Environmental Plantings,S_k_195,POINT (148.4781716 -34.31906132),148.4782,-34.3191
Environmental Plantings,S_k_196,POINT (148.6008136 -34.28969244),148.6008,-34.2897
Jarradale thinning experiment (WA),S_k_197,POINT (116.19244035322905 -32.310179847004946),116.1924,-32.3102
Wog Wog Fragmentation Experiment (NSW),S_k_198,POINT (149.4722814994802 -37.07864600011251),149.4723,-37.0786
Wog Wog Fragmentation Experiment (NSW),S_k_199,POINT (149.46825750056783 -37.07359250018752),149.4683,-37.0736
